Ice_Cream_Flavor,Like_It_Percentage,Favorite_Percentage
peach,22%,1%
butterscotch,16%,1%
chocolate chip,39%,2%
chocolate,51%,10%
vanilla,59%,11%
coffee,23%,5%
caramel,33%,3%
peanut butter,21%,2%
neopolitan,30%,2%
cherry,23%,2%
chocolate chip cookie dough,34%,6%
birthday cake,20%,2%
raspberry,18%,1%
cake batter,15%,1%
rocky road,29%,4%
pistachio,23%,4%
jalapeno,, 

