Rank,Name,Rating,Release_year
16012,Osomatsu-san (2023),,2023
16030,Dr. Stone (2023),,2023
17543,Pleasant Goat and Big Big Wolf Movie 8,,2023
18303,MF Ghost,,2023
7,Attack on Titan The Final Season: Part II,4.56,2022
242,My Dress-Up Darling,4.24,2022
251,Sasaki and Miyano,4.23,2022
448,Teasing Master Takagi-san 3,4.14,2022
463,The Case Study of Vanitas: Part II,4.13,2022
659,Arifureta: From Commonplace to World's Strongest 2nd Season,4.07,2022
1020,How a Realist Hero Rebuilt the Kingdom: Part II,3.97,2022
1836,Sabikui Bisco,3.81,2022
1947,Princess Connect! Re: Dive Season 2,3.80,2022
1996,In the Land of Leadale,3.79,2022
2431,Love of Kill,3.73,2022
2666,The Genius Prince's Guide To Raising a Nation Out of Debt,3.71,2022
2696,The Strongest Sage with the Weakest Crest,3.70,2022
2749,Tokyo 24th Ward,3.70,2022
3102,Akebi's Sailor Uniform,3.66,2022
3367,Saiyuki Reload: Zeroin,3.63,2022
3763,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,3.60,2022
4304,Slow Loop,3.56,2022
4506,Tribe Nine,3.54,2022
4508,Yamishibai: Japanese Ghost Stories 10th Season,3.54,2022
4537,Tensei Shoya kara Musabori H: Ouji no Honmei wa Akuyaku Reijou,3.54,2022
4898,World's End Harem,3.51,2022
5213,Police in a Pod,3.49,2022
6034,Irodorimidori,3.45,2022
6213,Cue!,3.44,2022
6334,Futsal Boys!!!!!,3.43,2022
6655,"""Anata wo Hitokoto de Arawashite Kudasai"" no Shitsumon ga Nigate da",3.41,2022
6781,The Case Study of Vanitas Recap,3.41,2022
7745,Orient,3.35,2022
8537,Requiem of the Rose King,3.31,2022
9182,Miss Kuroitsu From the Monster Development Department,3.28,2022
9909,Girls' Frontline,3.23,2022
10817,She Professed Herself Pupil of the Wise Man,3.17,2022
11515,I’m Kodama Kawashiri,3.13,2022
12911,Fantasia Sango: Realm of Legends,3.00,2022
14662,Rusted Armors,2.67,2022
15378,Black Rock Shooter: Dawn Fall,,2022
15389,My Daughter is a Zombie,,2022
15399,AMAIM Warrior at the Borderline: Part II,,2022
15404,In/Spectre 2nd Season,,2022
15405,Shikimori's Not Just a Cutie,,2022
15473,BanG Dream! Movie: Poppin' Dream!,,2022
15487,My Hero Academia 6,,2022
15488,Tales of Luminaria: The Fateful Crossroad,,2022
15495,The Prince of Tennis II: U-17 World Cup,,2022
15548,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,,2022
15575,Bing Zhu Qi Hun,,2022
15583,Bocchi the Rock!,,2022
15598,Shadowverse Flame,,2022
15620,"The Girl From the Other Side: Siuil, a Run (2022)",,2022
15629,Shadows House 2nd Season,,2022
15639,Bai Yao Pu 3rd Season,,2022
15643,Lycoris Recoil,,2022
15644,My song,,2022
15661,Re:cycle of the Penguindrum Part II,,2022
15662,Uchuu Camper Chicchi,,2022
15677,Megaton Musashi 2nd Season,,2022
15688,Dropkick on My Devil! X,,2022
15720,Utawarerumono: Mask of Truth,,2022
15731,Rock'n Oyone,,2022
15743,Tomodachi Game,,2022
15747,Yowamushi Pedal: Limit Break,,2022
15785,Oshiri Tantei Movie 4: Shiriarty,,2022
15789,Rent-A-Girlfriend 2,,2022
15799,Tenjin,,2022
15820,Technoroid,,2022
15824,IDOLiSH7: Third BEAT - Part II,,2022
15870,"Kono Healer, Mendokusai",,2022
15873,Shin Ikkitousen,,2022
15876,Mobile Suit Gundam: Suisei no Majo,,2022
15877,Cardfight!! Vanguard: overDress 3rd Season,,2022
15901,Thermae Romae Novae,,2022
15991,Ya Boy Kongming!,,2022
16042,Fuuto PI,,2022
16050,Uchi no Shishou wa Shippo ga Nai,,2022
16098,Xing Hai Qishi: Part III,,2022
16111,Rilakkuma's Theme Park Adventure,,2022
16114,Summer Time Rendering,,2022
16118,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,,2022
16124,Shine Post,,2022
16150,Jintian Kaishi Zuo Mingxing 2nd Season,,2022
16169,Yu-Gi-Oh! GORUSH!!,,2022
16170,Teppen—!!!!!!!!!!!!!!!,,2022
16172,The Rising of the Shield Hero 2nd Season,,2022
16190,Osomatsu-san (2022),,2022
16206,The Deer King,,2022
16210,Bleach: Sennen Kessen-hen,,2022
16252,Tokyo Mew Mew New,,2022
16299,Drifting Home,,2022
16301,The Orbital Children Movie 2,,2022
16310,Rhapsody,,2022
16343,Pop Team Epic 2nd Season,,2022
16354,Ghost in the Shell: SAC_2045 Season 2,,2022
16356,Doraemon Movie 41: Nobita's Little Space War 2021,,2022
16362,Exception,,2022
16364,Kirakira Kirari☆,,2022
16368,I’m Quitting Heroing,,2022
16371,Motto! Majime ni Fumajime Kaiketsu Zorori 3,,2022
16382,The Orbital Children Movie 1,,2022
16395,Idol Land PriPara,,2022
16397,A Couple of Cuckoos,,2022
16405,"Goodbye, Don Glees!",,2022
16412,Shaonian Gexing 2nd Season: Part II,,2022
16413,SD Gundam World Heroes: The Legend of Dragon Knight,,2022
16415,Baby-Hamitang,,2022
16424,Shenmue the Animation,,2022
16440,Fruits Basket: Prelude,,2022
16450,Urusei Yatsura (2022),,2022
16465,Chainsaw Man,,2022
16479,Birdie Wing: Golf Girls' Story,,2022
16513,Hanabi-chan wa Okuregachi,,2022
16516,Petit Seka,,2022
16539,Dance Dance Danseur,,2022
16552,Mobile Suit Gundam: Cucuruz Doan's Island,,2022
16583,Free! Movie: The Final Stroke - Kouhen,,2022
16590,Shoot! Goal to the Future,,2022
16619,Kaitou Queen wa Circus ga Osuki,,2022
16625,Jantama Pong,,2022
16628,Laid-Back Camp Movie,,2022
16671,Mobius Dust,,2022
16685,Encouragement of Climb: Next Summit,,2022
16686,Deaimon,,2022
16688,Build Divide 2,,2022
16719,VazzRock the Animation,,2022
16720,The Eminence in Shadow,,2022
16722,Zuoshou Shanglan,,2022
16728,Call of the Night,,2022
16730,Princess Principal: Crown Handler - Chapter 2: Revealing Reviews,,2022
16750,Hell's Paradise: Jigokuraku,,2022
16753,Uta no Prince-sama: Maji Love Starish Tours,,2022
16758,Otoboku: Maidens Are Falling For Me! Trinkle Stars The Animation,,2022
16762,Kakegurui Twin,,2022
16764,Yatogame-chan Kansatsu Nikki 4,,2022
16765,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,,2022
16789,Non Non Biyori Nonstop OVA,,2022
16796,Blue Giant,,2022
16845,Cyberpunk: Edgerunners,,2022
16869,Insect Land,,2022
16917,Isekai Quartet: Another World,,2022
16921,The King of Fighters: Awaken,,2022
16924,Argonavis from BanG Dream! Movie,,2022
16929,Strike the Blood Final,,2022
16940,Sore Ike! Anpanman: Dororin to Bakeru Carnival,,2022
16976,Aoki Uru,,2022
16986,The Executioner and Her Way of Life,,2022
16987,WATATEN! an Angel Flew Down to Me: Precious Friends,,2022
16995,Big Fish & Begonia 2,,2022
16997,Cherry and Virgin,,2022
17009,Suzume no Tojimari,,2022
17045,"The Tunnel to Summer, the Exit of Goodbye",,2022
17068,Eien no 831,,2022
17108,Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Part II,,2022
17112,Bubble,,2022
17121,Dragon Ball Super: Super Hero,,2022
17140,"Tensei Kenja no Isekai Life: Dai Ni no Shokugyou wo Ete, Sekai Saikyou ni Narimashita",,2022
17141,The Greatest Demon Lord Is Reborn as a Typical Nobody,,2022
17145,Healer Girl,,2022
17149,Xingchen Bian 4th Season,,2022
17170,The Devil is a Part-Timer! 2,,2022
17179,Uncle from Another World,,2022
17193,Tiger & Bunny 2,,2022
17201,Tsurune Movie: Kazemai Koukou Kyuudou Bu,,2022
17238,Boku ga Ai Shita Subete no Kimi e,,2022
17245,On Air Dekinai!,,2022
17255,Sasaki and Miyano OVA,,2022
17309,The Dawn of the Witch,,2022
17316,Love All Play,,2022
17346,Link Click 2nd Season,,2022
17351,Blue Thermal,,2022
17365,"Science Fell in Love, So I Tried to Prove It. r=1-sinθ",,2022
17430,Assault Lily: Last Bullet - Senka no Kessoku PV,,2022
17442,Aoashi,,2022
17451,Teasing Master Takagi-san Movie,,2022
17452,To Your Eternity 2nd Season,,2022
17456,Legend of the Galactic Heroes: Die Neue These Third 2,,2022
17462,Ensemble Stars!! Road to Show,,2022
17476,Overlord IV,,2022
17509,Love After World Domination,,2022
17525,That Time I Got Reincarnated as a Slime Movie,,2022
17539,Made in Abyss: The Golden City of the Scorching Sun,,2022
17542,Soredemo Ayumu wa Yosetekuru,,2022
17563,SPY x FAMILY,,2022
17569,Komi Can't Communicate 2nd Season,,2022
17597,Salaryman's Club,,2022
17603,Aka-chan Honbuchou 2nd Season,,2022
17678,Spriggan (New),,2022
17681,Inu-Oh,,2022
17706,Kunoichi Tsubaki no Mune no Uchi,,2022
17707,Mushoku Tensei: Jobless Reincarnation Special,,2022
17717,Kaguya-sama: Love is War - Ultra Romantic,,2022
17752,The Demon Girl Next Door 2,,2022
17792,Love Live! Nijigasaki High School Idol Club Season 2,,2022
17813,Delicious Party Pretty Cure,,2022
17821,Slam Dunk Movie,,2022
17822,RPG Fudousan,,2022
17840,Zannen na Ikimono no Jiten Movie,,2022
17851,Kantai Collection: Kan Colle 2,,2022
17868,Joshikousei to Mahou no Note,,2022
17883,My Hero Academia: Tabidachi,,2022
17889,DEEMO: Memorial Keys,,2022
17890,Uzaki-chan Wants to Hang Out! 2,,2022
17942,Kotaro Lives Alone,,2022
17946,Kingdom 4,,2022
17950,Sword Art Online: Progressive Movie 2 - Scherzo of Deep Night,,2022
17983,One Piece Film: Red,,2022
18001,Yojouhan Time Machine Blues,,2022
18072,Aharen-san wa Hakarenai,,2022
18120,Oshiri Tantei 6th Season,,2022
18127,Ninjala TV,,2022
18161,The Seven Deadly Sins: Grudge of Edinburgh,,2022
18176,Ascendance of a Bookworm: Part III,,2022
18189,Fanfare of Adolescence,,2022
18191,Kimi wo Ai Shita Hitori no Boku e,,2022
18209,Dr. Stone: Ryuusui,,2022
18217,Tabi wa ni,,2022
18220,Blue Lock,,2022
18225,The Yakuza's Guide to Babysitting,,2022
18234,Kagi-nado Season 2,,2022
18235,GO!GO!TOKYO MER: Kinkyuujitai to Tatakau Nakama-tachi,,2022
18238,Date a Live IV,,2022
18269,Odd Taxi: In the Woods,,2022
18276,The Quintessential Quintuplets Movie,,2022
18291,Mobile Suit Gundam: Iron-Blooded Orphans Recaps,,2022
18306,Vampire in the Garden,,2022
18309,Uzumaki: Spiral into Horror,,2022
18312,Legend of the Galactic Heroes: Die Neue These Third 1,,2022
18315,Re:cycle of the Penguindrum,,2022
18327,Inzai Aru Aru Monogatari,,2022
18330,Legend of the Galactic Heroes: Die Neue These Third 3,,2022
18336,Muv-Luv Alternative 2nd Season,,2022
18344,Ultraman 2nd Season,,2022
18357,Miss Kobayashi's Dragon Maid S: Nippon no Omotenashi (Attend wa Dragon desu),,2022
18374,Shimajirou to Kirakira Ookoku no Ooji-sama,,2022
18382,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense. II",,2022
18386,The Legend of Heroes: Trails of Cold Steel,,2022
18397,Magia Record: Puella Magi Madoka Magica Side Story Final Season,,2022
18409,Girl Gaku. II Lucky Stars,,2022
18412,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,,2022
18422,Tongari Atama no Gonta: Futatsu no Namae wo Ikita Fukushima Hisai Inu no Monogatari,,2022
18444,The Imaginary,,2022
18489,Shachiku-san wa Youjo Yuurei ni Iyasaretai.,,2022
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.60,2021
2,Fruits Basket the Final Season,4.60,2021
3,Mo Dao Zu Shi 3,4.58,2021
18,Heaven Official's Blessing Special,4.50,2021
19,That Time I Got Reincarnated as a Slime Season 2,4.48,2021
23,Gintama: The Very Final,4.46,2021
24,Link Click,4.46,2021
30,That Time I Got Reincarnated as a Slime Season 2: Part II,4.45,2021
32,Ranking of Kings,4.45,2021
33,Mushoku Tensei: Jobless Reincarnation - Part II,4.45,2021
48,Demon Slayer: Kimetsu no Yaiba - Mugen Train,4.43,2021
53,JoJo's Bizarre Adventure: Stone Ocean,4.42,2021
63,SK8 the Infinity,4.38,2021
89,Horimiya,4.36,2021
94,Castlevania Season 4,4.35,2021
98,To Your Eternity,4.35,2021
110,Dr. Stone: Stone Wars,4.34,2021
122,Odd Taxi,4.32,2021
125,Moriarty the Patriot 2nd Season,4.32,2021
131,Tokyo Revengers,4.31,2021
138,Dou Po Cangqiong: San Nian Zhi Yao,4.31,2021
145,Given: Uragawa no Sonzai,4.30,2021
148,Miss Kobayashi's Dragon Maid S,4.30,2021
154,Re:ZERO -Starting Life in Another World- Season 2: Part II,4.29,2021
155,Laid-Back Camp 2nd Season,4.29,2021
177,Semantic Error,4.27,2021
178,86: Eighty-Six - Part II,4.27,2021
179,Dou Po Cangqiong 4th Season,4.27,2021
198,Mushoku Tensei: Jobless Reincarnation,4.26,2021
207,The Quintessential Quintuplets 2,4.25,2021
221,Scissor Seven 3rd Season,4.25,2021
233,Evangelion: 3.0+1.0 Thrice Upon a Time,4.24,2021
239,Non Non Biyori Nonstop,4.24,2021
257,Bungo Stray Dogs Wan!,4.23,2021
262,Gintama: The Semi-Final,4.23,2021
267,Shanhe Jian Xin,4.22,2021
268,World Trigger 3rd Season,4.22,2021
280,Komi Can't Communicate,4.22,2021
284,"Welcome to Demon School, Iruma-kun 2",4.21,2021
295,Wotakoi: Love is Hard for Otaku OVA,4.21,2021
330,Vivy: Fluorite Eye's Song,4.19,2021
335,BELLE,4.18,2021
347,Jujutsu Kaisen 0,4.18,2021
371,My Hero Academia 5,4.17,2021
374,My Hero Academia Movie 3: World Heroes' Mission,4.17,2021
378,World Trigger 2nd Season,4.16,2021
386,86: Eighty-Six,4.16,2021
390,Wanmei Shijie,4.16,2021
454,TONIKAWA: Over the Moon for You OVA,4.13,2021
467,Megalo Box 2: Nomad,4.13,2021
487,Link Click: Marrying by Contesting,4.13,2021
512,Tian Bao Fuyao Lu 2nd Season,4.12,2021
541,Swallowed Star 2nd Season,4.10,2021
556,Sword Art Online: Progressive Movie 1 - Aria of a Starless Night,4.10,2021
579,Natsume's Book of Friends Movie 2,4.09,2021
588,Tsukimichi: Moonlit Fantasy,4.09,2021
595,Blue Period.,4.09,2021
613,Liang Bu Yi,4.08,2021
640,Wonder Egg Priority,4.07,2021
666,Girls und Panzer: Saishuushou 3,4.07,2021
675,Beastars 2,4.06,2021
682,The Case Study of Vanitas,4.06,2021
712,DAKAICHI: I'm being harassed by the sexiest man of the year- Spain Arc,4.05,2021
715,Ling Jian Zun 5th Season,4.05,2021
768,YOASOBI: Kaibutsu,4.03,2021
800,Zombie Land Saga Revenge,4.02,2021
820,Wushang Shen Di 2nd Season,4.02,2021
823,Revue Starlight Movie,4.02,2021
826,Thunderbolt Fantasy 3,4.02,2021
842,The Irregular at Magic High School: Reminiscence Arc,4.01,2021
851,The Daily Life of the Immortal King 2,4.01,2021
858,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,4.01,2021
864,"So I'm a Spider, So What?",4.01,2021
874,The Witcher: Nightmare of the Wolf,4.00,2021
878,My Senpai is Annoying,4.00,2021
898,Shadows House,4.00,2021
906,Backflip!!,3.99,2021
917,Xingchen Bian 3rd Season,3.99,2021
921,Detective Conan Movie 24: The Scarlet Bullet,3.99,2021
950,Yaoshenji 5th Season,3.98,2021
956,Life Lessons with Uramichi Oniisan,3.98,2021
963,BanG Dream! Movie: Episode of Roselia - Part II: Song I am,3.98,2021
968,The Way of the Househusband 2,3.98,2021
978,IDOLiSH7: Third BEAT!,3.98,2021
986,Taisho Otome Fairy Tale,3.97,2021
987,Kemono Jihen,3.97,2021
1009,Restaurant to Another World 2,3.97,2021
1011,Pretty Guardian Sailor Moon Eternal Movie 2,3.97,2021
1019,Chainsaw Man PV,3.97,2021
1033,Bai Yao Pu 2nd Season,3.96,2021
1038,Lie Huo Jiao Chou,3.96,2021
1043,Wan Jie Xian Zong 5th Season,3.96,2021
1054,Liang Bu Yi: Part II,3.96,2021
1061,Kaguya-sama: Love is War - Ultra Romantic PV - Yu Ishigami Wants to Discuss It,3.96,2021
1072,Seitokai Yakuindomo Movie 2,3.95,2021
1126,The Slime Diaries: That Time I Got Reincarnated as a Slime,3.94,2021
1142,Quanzhi Fashi V,3.94,2021
1148,Saga of Tanya the Evil: Operation Desert Pasta,3.94,2021
1161,Ni Tian Zhizun,3.94,2021
1200,The Ancient Magus' Bride: The Boy from the West and the Knight of the Blue Storm,3.93,2021
1210,Cells at Work!!,3.93,2021
1224,"Don't Toy With Me, Miss Nagatoro",3.92,2021
1229,Words Bubble Up Like Soda Pop,3.92,2021
1230,Wan Jie Duzun,3.92,2021
1262,Fanren Xiu Xian Chuan Specials: Yan Jia Bao Dazhan,3.92,2021
1275,Baki: Son of Ogre,3.91,2021
1284,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",3.91,2021
1317,Obey Me!,3.90,2021
1318,Miss Kobayashi's Dragon Maid S Specials,3.90,2021
1322,yama: Oz.,3.90,2021
1325,Those Snow White Notes,3.90,2021
1340,Pretty Guardian Sailor Moon Eternal Movie 1,3.90,2021
1351,Star Martial God Technique,3.90,2021
1355,Juan Siliang,3.90,2021
1359,Fate/Grand Carnival,3.90,2021
1372,Mieruko-chan,3.89,2021
1384,Kaguya-sama: Love Is War OVA,3.89,2021
1400,Love Live! Superstar!!,3.88,2021
1401,How a Realist Hero Rebuilt the Kingdom,3.88,2021
1402,The Saint's Magic Power is Omnipotent,3.88,2021
1403,Wu Geng Ji 4th Season,3.88,2021
1405,Miss Kobayashi's Dragon Maid S Short Animation Series,3.88,2021
1411,Dawang Raoming,3.88,2021
1413,Yuan Long 2nd Season,3.88,2021
1415,Peerless Battle Spirit,3.88,2021
1416,Tian Huan Zhan Shen,3.88,2021
1417,Mobile Suit Gundam: Hathaway's Flash I,3.88,2021
1430,Memory of Chang'an 2nd Season,3.88,2021
1433,Cells at Work! Code Black,3.88,2021
1451,Luo Xiaohei Zhan Ji: Zhongsheng Zhi Men,3.88,2021
1456,The Heike Story,3.87,2021
1471,My Next Life as a Villainess: All Routes Lead to Doom! X,3.87,2021
1479,millenium parade: U,3.87,2021
1480,Xuyuan Shenlong,3.87,2021
1485,Zhen Dao Ge,3.87,2021
1487,Shiguang Zhaoxiangguan de Richang,3.87,2021
1502,Tropical-Rouge! Pretty Cure,3.87,2021
1537,Miss Kobayashi's Dragon Maid S Short Animation Series Specials,3.86,2021
1543,Kageki Shoujo!!,3.86,2021
1553,LMYK: 0 (zero) (English Version),3.86,2021
1556,Remake our Life!,3.86,2021
1578,Lupin III: Part VI,3.85,2021
1587,Twittering Birds Never Fly: Don't Stay Gold,3.85,2021
1591,Pokemon Evolutions,3.85,2021
1604,Shouxi Yu Ling Shi 2nd Season,3.85,2021
1605,Uma Musume: Pretty Derby Season 2,3.85,2021
1649,takt op.Destiny,3.84,2021
1670,Meng Qi Shi Shen 2nd Season,3.84,2021
1672,Wan Jie Shenzhu 3rd Season,3.84,2021
1673,The Faraway Paladin,3.84,2021
1677,ChibiReve,3.84,2021
1693,Beyblade Burst Dynamite Battle,3.84,2021
1702,Free! Movie: The Final Stroke - Zenpen,3.83,2021
1714,The Idaten Deities Know Only Peace,3.83,2021
1730,Ling Long: Incarnation Special,3.83,2021
1731,Aggretsuko 4,3.83,2021
1747,Obey Me! Devildom Family Trip!,3.83,2021
1751,The Way of the Househusband,3.83,2021
1752,Shaonian Gexing 2nd Season,3.83,2021
1773,Detective Conan: Hiiro no Fuzai Shoumei,3.82,2021
1819,Pui Pui Molcar,3.82,2021
1886,Seirei Gensouki: Spirit Chronicles,3.81,2021
1907,Fire-and-Ice Magic Cookery,3.80,2021
1912,Jiutain Yuan Di Jue,3.80,2021
1950,Li Linke de Xiao Guaner,3.80,2021
1973,White Snake 2: Green Snake,3.79,2021
1992,Yashahime: Princess Half-Demon - The Second Act,3.79,2021
2004,The Seven Deadly Sins Movie 2: Cursed by Light,3.79,2021
2014,Makafushigi,3.79,2021
2037,Hololive Alternative PV,3.78,2021
2051,RE-MAIN,3.78,2021
2084,Fate/Grand Order -Divine Realm of the Round Table: Camelot- Paladin; Agateram,3.78,2021
2090,Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note - Special Edition,3.78,2021
2097,Renjian Zui Deyi,3.78,2021
2173,DOTA: Dragon's Blood,3.77,2021
2175,Edens Zero,3.77,2021
2188,Xixing Ji 3rd Season,3.77,2021
2190,Dinghai Fusheng Lu,3.77,2021
2213,Hakuouki OVA,3.76,2021
2247,Healin' Good Pretty Cure Movie: Yume no Machi de Kyun! Tto GoGo! Daihenshin!!,3.76,2021
2253,New Gods: Nezha Reborn,3.76,2021
2262,Otaku's Offspring,3.76,2021
2269,Super Crooks,3.76,2021
2304,BanG Dream! Movie: Episode of Roselia - Part I: Yakusoku,3.75,2021
2305,Koikimo,3.75,2021
2307,Eve & suis: Heikousen,3.75,2021
2351,Xing Hai Qishi: Part II,3.74,2021
2358,Eve: Yoru wa Honoka,3.74,2021
2359,The Duke of Death and His Maid,3.74,2021
2411,Star Blazers: Space Battleship Yamato 2202 Movie,3.74,2021
2422,Ling Long: Incarnation Zhong Zhang (2021),3.73,2021
2424,Summer Ghost,3.73,2021
2448,The Aquatope on White Sand,3.73,2021
2530,Sing a Bit of Harmony,3.72,2021
2566,Youxia Zhanji,3.72,2021
2569,The Seven Deadly Sins: Dragon's Judgement,3.72,2021
2572,Kimetsu Gakuen: Valentine-hen,3.72,2021
2578,Fena: Pirate Princess,3.72,2021
2586,Star Wars: Visions,3.72,2021
2596,Wan Jie Qi Yuan,3.71,2021
2614,Koukyoushihen: Eureka Seven - Hi-Evolution 3,3.71,2021
2617,Aria the Crepuscolo,3.71,2021
2641,Log Horizon: Destruction of the Round Table,3.71,2021
2649,Super Cub,3.71,2021
2667,Wo Qi Ku Le Baiwan Xiulianzhe,3.71,2021
2700,Qinling Shen Shu,3.70,2021
2714,Yoru no Kuni,3.70,2021
2742,Rakshasa Street 2nd Season: Part II,3.70,2021
2762,Lanndo: Uchuu no Kisetsu,3.70,2021
2763,Eve: Yuuseiboushi,3.70,2021
2795,"Farewell, My Dear Cramer Movie: First Touch",3.69,2021
2801,Kuang Shenmo Zun,3.69,2021
2827,Fei Ren Zai 4th Season,3.69,2021
2841,Heaven's Design Team,3.69,2021
2898,Hitori no Shita: The Outcast 4,3.68,2021
2899,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",3.68,2021
2921,The Defective,3.68,2021
2934,Dr. Ramune Mysterious Disease Specialist,3.67,2021
2969,Banished Disciple’s Counterattack,3.67,2021
2997,Pacific Rim: The Black,3.67,2021
2999,[email protected],3.67,2021
3016,That Time I Got Reincarnated as a Slime Season 2: Veldora's Journal,3.67,2021
3017,Irina: The Vampire Cosmonaut,3.67,2021
3021,Girls und Panzer: Saishuushou 3 Specials,3.67,2021
3023,Kakushigoto Movie: Himegoto wa Nandesuka,3.67,2021
3032,Heaven's Design Team Special,3.67,2021
3075,How NOT to Summon a Demon Lord: Omega,3.66,2021
3119,Chang Jian Feng Yun,3.66,2021
3130,Battle Spirits: Mirage,3.65,2021
3138,Pompo: The Cinéphile,3.65,2021
3142,Princess Principal: Crown Handler - Chapter 1,3.65,2021
3164,Sonny Boy,3.65,2021
3204,YOASOBI: Love Letter,3.65,2021
3254,The Dungeon of Black Company,3.64,2021
3285,SK8 the Infinity: Crazy Rock JAM,3.64,2021
3320,Burning Kabaddi,3.63,2021
3322,Bear Bear Bear! Kumadam-hen,3.63,2021
3349,Fate/Kaleid Liner Prisma Illya Movie 2: Licht Nameless Girl,3.63,2021
3370,Digimon Ghost Game,3.63,2021
3383,Ado: Odo,3.63,2021
3385,Ado: Ashura-chan,3.63,2021
3396,Kuiba Zhi Shu Tu,3.63,2021
3403,Selection Project,3.63,2021
3415,I’ve Been Killing Slimes for 300 Years and Maxed Out My Level,3.63,2021
3419,Hula Fulla Dance,3.63,2021
3427,Yuuki Yuuna is a Hero: The Great Mankai Chapter,3.63,2021
3465,Amemiya-san,3.62,2021
3539,Tropical-Rouge! Precure Petit Tobikome! Collaboration ♡ Dance Party!,3.62,2021
3540,Combatants Will Be Dispatched!,3.62,2021
3615,Bottom-tier Character Tomozaki,3.61,2021
3627,Minami: DROP,3.61,2021
3652,I'm Standing on a Million Lives 2nd Season,3.61,2021
3664,Mewkledreamy Mix!,3.60,2021
3665,Shaman King (2021),3.60,2021
3679,Tawawa on Monday 2 Special,3.60,2021
3682,The Great Jahy Will Not Be Defeated!,3.60,2021
3720,Idoly Pride,3.60,2021
3723,Fate/Grand Order Final Singularity: Grand Temple of Time - Solomon,3.60,2021
3728,Kakero,3.60,2021
3738,Fox Spirit Matchmaker Season 11,3.60,2021
3744,Go! Saitama,3.60,2021
3755,Inko Colors 2,3.60,2021
3756,Show By Rock!! Stars!!,3.60,2021
3797,Lupin III: Part VI - Episode 0,3.59,2021
3826,YOASOBI: Mou Sukoshi dake,3.59,2021
3838,GYROAXIA: Hibana Chiru,3.59,2021
3840,Artiswitch,3.59,2021
3845,Battle Game in 5 Seconds,3.59,2021
3893,Oshiete Hokusai! The Animation,3.59,2021
3907,Baten Kaitos,3.59,2021
3910,Ghost,3.59,2021
3930,Oni no Hanayome wa Taberaretai,3.58,2021
3932,My Next Life as a Villainess: All Routes Lead to Doom! OVA,3.58,2021
3949,Ado: Aitakute,3.58,2021
3976,YOASOBI: Yasashii Suisei,3.58,2021
4009,Cooking with Valkyries Spring Festival Special,3.58,2021
4031,CIEL: Mado wo Akete,3.58,2021
4041,Disney: Twisted-Wonderland 1-shuunen Kinen PV,3.57,2021
4051,Chima: Arifureta Itsuka,3.57,2021
4071,Higurashi: When They Cry - Sotsu,3.57,2021
4122,Natsume Yuujinchou × Kumamoto-ken: Hitoyoshi/Kuma de no Yasashii Jikan,3.57,2021
4129,Bakugan: Geogan Rising,3.57,2021
4138,Shinkansen Henkei Robo Shinkalion Z,3.57,2021
4149,Sou Xuan Lu Zhi Chen Ling Ji,3.57,2021
4153,Hell's Paradise: Jigokuraku PV,3.57,2021
4181,High-Rise Invasion,3.56,2021
4192,Laid-Back Camp 2nd Season Specials,3.56,2021
4204,Home!,3.56,2021
4242,Wei Wo Du Shen,3.56,2021
4257,TUYU: Chuuken Hachi,3.56,2021
4273,Ado: Yoru no Pierrot (TeddyLoid Remix),3.56,2021
4305,The Vampire Dies in No Time,3.56,2021
4353,BanG Dream! Girls Band Party! Pico: Fever,3.55,2021
4359,The Prince of Tennis II: Hyoutei vs Rikkai - Game of Future,3.55,2021
4369,Macross Delta Movie 2: Zettai Live!!!!!!,3.55,2021
4396,Shijian Qiutu,3.55,2021
4420,YOASOBI: Sangenshoku,3.55,2021
4424,The Genius Prince's Guide To Raising a Nation Out of Debt Short Drama,3.55,2021
4436,Ghost in the Shell: SAC_2045 Movie,3.55,2021
4461,Macross Frontier Short Movie: Toki no Meikyuu,3.55,2021
4474,Child of Kamiari Month,3.54,2021
4514,Crayon Shin-chan Movie 29: Nazo Meki! Hana no Tenkasu Gakuen,3.54,2021
4520,Knights of Sidonia: Love Woven in the Stars,3.54,2021
4521,Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita Mini Anime Special,3.54,2021
4545,Bakemonogatari PV,3.54,2021
4571,Ado: Yoru no Pierrot (360° ver.),3.54,2021
4598,Platinum End,3.54,2021
4606,YOASOBI: Taishou Romance,3.54,2021
4618,KINMOZA! Movie: Thank You!!,3.53,2021
4633,SSSS.Dynazenon,3.53,2021
4644,amazarashi: Kyoukaisen,3.53,2021
4688,One Piece Special Episode: Barto's Secret Room,3.53,2021
4696,Princess Principal: Crown Handler - Chapter 2,3.53,2021
